node_id,zone_id,x_coord,y_coord,geometry
96495,,139.738022,35.5372868,POINT (139.738022 35.5372868)
96496,,139.7424305,35.5374236,POINT (139.7424305 35.5374236)
96497,,139.7419116,35.537339,POINT (139.7419116 35.537339)
96501,,139.867547,35.7081337,POINT (139.867547 35.7081337)
96502,,139.8678185,35.706518,POINT (139.8678185 35.706518)
96503,,139.8678477,35.705977,POINT (139.8678477 35.705977)
96504,,139.8678698,35.705447,POINT (139.8678698 35.705447)
96505,,139.8679505,35.7040544,POINT (139.8679505 35.7040544)
96518,,139.1279761,35.9773541,POINT (139.1279761 35.9773541)
96519,,139.1275496,35.97767,POINT (139.1275496 35.97767)
96527,,139.9836847,35.255667,POINT (139.9836847 35.255667)
96528,,139.9874022,35.2526902,POINT (139.9874022 35.2526902)
96529,,139.2404311,36.2194513,POINT (139.2404311 36.2194513)
96530,,139.5190064,36.0010667,POINT (139.5190064 36.0010667)
96531,,139.4086417,35.4064576,POINT (139.4086417 35.4064576)
96575,,139.5508968,36.0250948,POINT (139.5508968 36.0250948)
96576,,139.5500258,36.0263803,POINT (139.5500258 36.0263803)
96578,,139.5498248,36.0266281,POINT (139.5498248 36.0266281)
96579,,139.5509808,36.0251324,POINT (139.5509808 36.0251324)
96581,,139.8390712,35.9964262,POINT (139.8390712 35.9964262)
96582,,139.8386821,35.9971511,POINT (139.8386821 35.9971511)
96594,,139.8523461,35.9895021,POINT (139.8523461 35.9895021)
96604,,139.7059475,35.5313612,POINT (139.7059475 35.5313612)
96605,,139.7133814,35.5464085,POINT (139.7133814 35.5464085)
96630,,139.6989269,35.5312993,POINT (139.6989269 35.5312993)
96631,,139.7211412,35.529466,POINT (139.7211412 35.529466)
96632,,139.7190956,35.5135273,POINT (139.7190956 35.5135273)
96633,,139.6933726,35.5219591,POINT (139.6933726 35.5219591)
96634,,139.6946504,35.5226451,POINT (139.6946504 35.5226451)
96636,,139.6938364,35.5222194,POINT (139.6938364 35.5222194)
96637,,139.6923115,35.5211384,POINT (139.6923115 35.5211384)
96638,,139.691429,35.5206669,POINT (139.691429 35.5206669)
96639,,139.6924584,35.5212218,POINT (139.6924584 35.5212218)
96640,,139.6896557,35.5192264,POINT (139.6896557 35.5192264)
96641,,139.69232,35.5213947,POINT (139.69232 35.5213947)
96642,,139.7269456,35.5359122,POINT (139.7269456 35.5359122)
96643,,139.5217983,36.0591958,POINT (139.5217983 36.0591958)
96644,,139.5191173,36.0583979,POINT (139.5191173 36.0583979)
96645,,139.5167709,36.0577655,POINT (139.5167709 36.0577655)
96646,,139.5207537,36.0601425,POINT (139.5207537 36.0601425)
96674,,139.9444107,35.8853094,POINT (139.9444107 35.8853094)
96675,,139.9326083,35.878961,POINT (139.9326083 35.878961)
96676,,139.9271028,35.8766742,POINT (139.9271028 35.8766742)
96677,,139.9252934,35.8756157,POINT (139.9252934 35.8756157)
96678,,139.9272016,35.8767206,POINT (139.9272016 35.8767206)
96679,,139.9308999,35.877965,POINT (139.9308999 35.877965)
96680,,139.9317469,35.8783692,POINT (139.9317469 35.8783692)
96681,,139.9294832,35.8776181,POINT (139.9294832 35.8776181)
96682,,139.9295174,35.8775164,POINT (139.9295174 35.8775164)
96683,,139.9276468,35.8769159,POINT (139.9276468 35.8769159)
96684,,139.9085955,35.8695074,POINT (139.9085955 35.8695074)
96685,,139.8877265,35.8634229,POINT (139.8877265 35.8634229)
96691,,139.4966525,35.6356758,POINT (139.4966525 35.6356758)
96692,,139.4971262,35.6358703,POINT (139.4971262 35.6358703)
96693,,139.5370233,36.0413615,POINT (139.5370233 36.0413615)
96694,,139.5309777,36.0487514,POINT (139.5309777 36.0487514)
96695,,139.5174795,36.063167,POINT (139.5174795 36.063167)
96696,,139.5014303,36.070459,POINT (139.5014303 36.070459)
96697,,139.5053203,36.0693008,POINT (139.5053203 36.0693008)
96698,,139.5011671,36.0706221,POINT (139.5011671 36.0706221)
96699,,139.5014688,36.0705403,POINT (139.5014688 36.0705403)
96700,,139.4950639,36.0758397,POINT (139.4950639 36.0758397)
96701,,139.4938844,36.0768659,POINT (139.4938844 36.0768659)
96702,,139.4951154,36.0758955,POINT (139.4951154 36.0758955)
96703,,139.4939329,36.0769179,POINT (139.4939329 36.0769179)
96704,,139.4797981,36.089045,POINT (139.4797981 36.089045)
96705,,139.4822276,36.0871651,POINT (139.4822276 36.0871651)
96706,,139.4795365,36.0892969,POINT (139.4795365 36.0892969)
96707,,139.4693168,36.095226,POINT (139.4693168 36.095226)
96708,,139.475006,36.0919784,POINT (139.475006 36.0919784)
96709,,139.5106495,35.6376558,POINT (139.5106495 35.6376558)
96710,,139.5132853,35.6375543,POINT (139.5132853 35.6375543)
96711,,139.5136452,35.6374524,POINT (139.5136452 35.6374524)
96716,,139.5006573,35.3698776,POINT (139.5006573 35.3698776)
96726,,139.7164275,35.6913111,POINT (139.7164275 35.6913111)
96727,,139.7189175,35.6917025,POINT (139.7189175 35.6917025)
96728,,139.7211332,35.692262,POINT (139.7211332 35.692262)
96729,,139.7073496,35.6919616,POINT (139.7073496 35.6919616)
96730,,139.7103412,35.6915143,POINT (139.7103412 35.6915143)
96731,,139.7090839,35.6916515,POINT (139.7090839 35.6916515)
96732,,139.7137845,35.69124,POINT (139.7137845 35.69124)
96733,,139.7138251,35.691241,POINT (139.7138251 35.691241)
96758,,139.6062845,35.6025739,POINT (139.6062845 35.6025739)
96794,,139.3156786,35.3063785,POINT (139.3156786 35.3063785)
96795,,139.3749873,35.320054,POINT (139.3749873 35.320054)
96801,,139.4334392,35.3203617,POINT (139.4334392 35.3203617)
96813,,140.5044221,35.6323026,POINT (140.5044221 35.6323026)
96830,,139.4268622,35.6575173,POINT (139.4268622 35.6575173)
96831,,139.4372141,35.6493689,POINT (139.4372141 35.6493689)
96832,,139.4370836,35.6493763,POINT (139.4370836 35.6493763)
96833,,139.4261966,35.5250622,POINT (139.4261966 35.5250622)
96834,,139.2200178,36.0792582,POINT (139.2200178 36.0792582)
96835,,139.4012802,35.6750909,POINT (139.4012802 35.6750909)
96836,,139.5065325,35.7742281,POINT (139.5065325 35.7742281)
96837,,139.499677,35.7744071,POINT (139.499677 35.7744071)
96838,,139.5003365,35.7745451,POINT (139.5003365 35.7745451)
96839,,139.502156,35.7745056,POINT (139.502156 35.7745056)
96840,,139.504574,35.774206,POINT (139.504574 35.774206)
96852,,139.324342,35.6773863,POINT (139.324342 35.6773863)
96853,,139.4207535,35.6705047,POINT (139.4207535 35.6705047)
96854,,139.4066575,35.6696365,POINT (139.4066575 35.6696365)
96855,,139.4047552,35.6693743,POINT (139.4047552 35.6693743)
96856,,139.2306966,35.8320517,POINT (139.2306966 35.8320517)
96863,,139.1639535,36.0115586,POINT (139.1639535 36.0115586)
96864,,139.3132324,35.9857362,POINT (139.3132324 35.9857362)
96891,,139.322565,35.9472813,POINT (139.322565 35.9472813)
96892,,139.3229867,35.9472084,POINT (139.3229867 35.9472084)
96893,,139.3231782,35.9471845,POINT (139.3231782 35.9471845)
96898,,139.298836,35.3712838,POINT (139.298836 35.3712838)
96899,,138.9913227,35.962641,POINT (138.9913227 35.962641)
96900,,139.2543923,35.3457728,POINT (139.2543923 35.3457728)
96901,,139.8553012,35.8315482,POINT (139.8553012 35.8315482)
96902,,139.8473331,35.8162433,POINT (139.8473331 35.8162433)
96903,,139.8456781,35.8140041,POINT (139.8456781 35.8140041)
96904,,139.8429941,35.8110477,POINT (139.8429941 35.8110477)
96905,,139.5900945,36.1644146,POINT (139.5900945 36.1644146)
96906,,139.5899054,36.164451,POINT (139.5899054 36.164451)
96907,,139.5867551,36.1654515,POINT (139.5867551 36.1654515)
96910,,139.5116765,35.5734221,POINT (139.5116765 35.5734221)
96911,,139.3925287,35.4836954,POINT (139.3925287 35.4836954)
96912,,139.4263774,35.525344,POINT (139.4263774 35.525344)
96913,,139.4276382,35.5270142,POINT (139.4276382 35.5270142)
96914,,139.4284163,35.5280315,POINT (139.4284163 35.5280315)
96915,,139.5805342,35.4415083,POINT (139.5805342 35.4415083)
96916,,140.061187,35.5196819,POINT (140.061187 35.5196819)
96917,,140.0613931,35.5196998,POINT (140.0613931 35.5196998)
96918,,140.065027,35.5180745,POINT (140.065027 35.5180745)
96919,,140.068494,35.5162568,POINT (140.068494 35.5162568)
96920,,140.0715677,35.5146028,POINT (140.0715677 35.5146028)
96921,,140.0633555,35.5231755,POINT (140.0633555 35.5231755)
96922,,140.0565608,35.5120825,POINT (140.0565608 35.5120825)
96923,,140.0536837,35.5074997,POINT (140.0536837 35.5074997)
96924,,140.0586435,35.5153888,POINT (140.0586435 35.5153888)
96925,,139.4291264,35.9138813,POINT (139.4291264 35.9138813)
96926,,139.4287229,35.9140052,POINT (139.4287229 35.9140052)
96927,,139.427861,35.9145568,POINT (139.427861 35.9145568)
96928,,139.4293356,35.9141605,POINT (139.4293356 35.9141605)
96929,,139.4297191,35.9140441,POINT (139.4297191 35.9140441)
96930,,139.4273033,35.9146928,POINT (139.4273033 35.9146928)
96972,,139.7447357,35.9905008,POINT (139.7447357 35.9905008)
96973,,139.7442175,35.9939597,POINT (139.7442175 35.9939597)
96974,,139.7439693,35.9960999,POINT (139.7439693 35.9960999)
96975,,139.3689436,35.5967287,POINT (139.3689436 35.5967287)
96976,,139.3712599,35.5958598,POINT (139.3712599 35.5958598)
96977,,139.371303,35.5959519,POINT (139.371303 35.5959519)
